"ID","name","location","info","mob_name","wear","date"
"20","red dragon claw","Underground Passage",".. this object, a red dragon claw, is an exotic weapon,
   and can be referred to as 'claw red dragon'.
It is of 28th level, weighs 16 pounds, and is worth 65 gold.
It deals 5d8 damage (averaging at 22).
Its attacks take the form of a claw.
It roars with flames.
When worn, it
   modifies fire-based spell damage by 5%
   modifies damage roll by 8","red dragon","wield",NULL
"21","Red DragonOrb","Underground Passage","Object 'orb dragonorb' is type staff, extra flags magic anti-good.
Weight is 5, value is 13600, level is 23.
restrict flags none.
Has 3(3) charges of level 20 'sanctuary'.
Affects intelligence by 2.
Affects wisdom by 2.","red dragon","staves",NULL
"22","decaying, deformed symbol of Paladine","Decayed Plains",".. this object, a decaying, deformed symbol of Paladine, is armor,
   and can be referred to as 'decay deformed paladine symbol'.
It is of 20th level, weighs 4 pounds, and is worth 149 gold.
You can wear it around your neck.
It is fireproof and resists corrosion.
Only priests can use it.
Armor class bonus: 8 vs pierce, 8 vs bash, 8 vs slash, and 4 vs magic.
When worn, it
   modifies resistance to air by 3
   modifies resistance to earth by 3
   modifies fortitude save by 3
   modifies mana by 25
   modifies health by 10","zombie of a cleric of Paladine","neck",NULL
"23","jagged, iron knife","Targoth Mountains","Object 'jagged iron knife' is type weapon, extra flags hum evil anti-good.
Weight is 5, value is 1250, level is 17.
restrict flags none.
Weapon type is dagger
Damage is 8d4 (average 20)
Damage noun is pierce.
Affects damage roll by 2.
Affects hit roll by 1.","dark-elf thief","wield",NULL
"24","spiked mace","Targoth Mountains","Object 'mace spiked' is type weapon, extra flags evil anti-good.
Weight is 22, value is 2000, level is 20.
restrict flags none.
Weapon type is mace/club
Damage is 7d5 (average 21)
Damage noun is crush.
Affects damage roll by 3.
Affects hit roll by 3.","dark-elf cleric","wield",NULL
"25","long cloak of shadows","Targoth Mountains","Object 'long cloak shadows' is type armor, extra flags anti-good.
Weight is 7, value is 2000, level is 20.
restrict flags none.
Armor class is 9 pierce, 9 bash, 9 slash, and 6 vs. magic
Affects hp by 10.
Affects damage roll by 2.
Affects hit roll by 2.","dark-elf cleric","neck",NULL
"26","mithril longsword","Targoth Mountains","Object 'mithril sword longsword' is type weapon, extra flags anti-evil.
Weight is 20, value is 1500, level is 18.
restrict flags none.
Weapon type is sword
Damage is 9d3 (average 18)
Damage noun is slash.
Affects hp by 10.
Affects damage roll by 2.
Affects hit roll by 1.","dwarven patroller","wield",NULL
"27","pair of mithril boots","Targoth Mountains","Object 'mithril boots' is type armor, extra flags anti-evil.
Weight is 8, value is 1000, level is 17.
restrict flags none.
Armor class is 8 pierce, 8 bash, 8 slash, and 6 vs. magic
Affects hp by 10.
Affects damage roll by 2.","dwarven patroller","feet",NULL
"28","mithril breastplate","Targoth Mountains","Object 'gray mithril plate' is type armor, extra flags anti-evil.
Weight is 20, value is 1500, level is 17.
restrict flags none.
Armor class is 8 pierce, 8 bash, 8 slash, and 6 vs. magic
Affects hp by 15.
Affects damage roll by 2.","dwarven patroller","torso",NULL
"29","pair of mithril leggings","Targoth Mountains","Object 'gray mithril leggings' is type armor, extra flags anti-evil.
Weight is 15, value is 1000, level is 17.
restrict flags none.
Armor class is 8 pierce, 8 bash, 8 slash, and 6 vs. magic
Affects hp by 10.
Affects damage roll by 1.","dwarven patroller","legs",NULL
"30","unholy symbol of Lloth","Khagghar Mausoleum",".. this object, an unholy symbol of Lloth, is armor,
   and can be referred to as 'symbol unholy'.
It is of 35th level, weighs 1 pound, and is worth 136 gold and 58 silver.
You can wear it around your neck.
It sheds a magical aura.
It can only be used by those of darkened soul.
It cannot be located by magical means.
Armor class bonus: 12 vs pierce, 12 vs bash, 12 vs slash, and 12 vs magic.
When worn, it
   modifies damage roll by 1
   modifies hit roll by 2
   modifies mana by 50
   modifies health by 30
   modifies moves by 30","dark priest vampire","neck",NULL
"31","frostbrand sword","Khagghar Mausoleum","Object 'frostbrand sword' is type weapon, extra flags magic no_locate.
Weight is 9, value is 11000, level is 22.
restrict flags none.
Weapon type is sword
Damage is 6d6 (average 21)
Damage noun is freezing bite.
Affects damage roll by 1.
Affects hit roll by 1.","young vampire","wield",NULL
"32","Marid signet ring","The Lost Sands","Object 'marid signet ring' is type armor, extra flags glow hum evil magic.
Weight is 1, value is 1000, level is 25.
restrict flags none.
Armor class is 7 pierce, 7 bash, 7 slash, and 7 vs. magic
Affects reflex save by 3.
Affects damage roll by 3.
Affects hit roll by 2.
Affects moves by 50.
Affects dexterity by -1.
Affects strength by 2.","marid lord","finger",NULL
"33","coral circlet","The Lost Sands","Object 'coral circlet' is type armor, extra flags glow hum magic no_locate burn_proof.
Weight is 0, value is 1000, level is 25.
restrict flags none.
Armor class is 13 pierce, 13 bash, 13 slash, and 13 vs. magic
Affects will save by 2.
Affects armor class by -7.
Affects mana by 50.
Affects wisdom by 2.
Affects intelligence by 2.","marid lord","head",NULL
"34","pair of darkened leggings","mausoleum",".. this object, a pair of darkened leggings, is armor,
   and can be referred to as 'darkened leggings'.
It is of 37th level, weighs 5 pounds, and is worth 334 gold.
You can wear it on your legs.
It glows with a soft light and hums faintly.
It cannot be used by those of pure soul.
It cannot be located by magical means.
Armor class bonus: 14 vs pierce, 14 vs bash, 14 vs slash, and 10 vs magic.
When worn, it
   modifies damage roll by 3
   modifies hit roll by 3
   modifies fortitude save by 6
   modifies resistance to poison by 10
   modifies armor class by -20
   modifies health by 35
   modifies constitution by 1","Shadar Lunn","legs",NULL
"35","darkened helm","mausoleum",".. this object, a darkened helm, is armor,
   and can be referred to as 'darkened helm helmet'.
It is of 37th level, weighs 4 pounds, and is worth 334 gold.
You can wear it on your head.
It glows with a soft light and hums faintly.
It cannot be used by those of pure soul.
It cannot be located by magical means.
Armor class bonus: 14 vs pierce, 14 vs bash, 14 vs slash, and 14 vs magic.
When worn, it
   modifies resistance to negative by 10
   modifies moves by 30
   modifies fortitude save by 7
   modifies damage roll by 3
   modifies hit roll by 2
   modifies armor class by -15
   modifies health by 40
   modifies constitution by 1
   modifies intelligence by 1","Shadar Lunn","head",NULL
"36","pair of darkened boots","mausoleum",".. this object, a pair of darkened boots, is armor,
   and can be referred to as 'darkened boots'.
It is of 37th level, weighs 7 pounds, and is worth 330 gold.
You can wear it on your feet.
It glows with a soft light and hums faintly.
It cannot be used by those of pure soul.
It cannot be located by magical means.
Armor class bonus: 14 vs pierce, 14 vs bash, 14 vs slash, and 10 vs magic.
When worn, it
   modifies resistance to disease by 10
   modifies damage roll by 4
   modifies hit roll by 2
   modifies armor class by -10
   modifies health by 40
   modifies constitution by 1
   modifies fortitude save by 4","Shadar Lunn","feet",NULL
"37","suit of darkened platemail (duplicate)","Khagghar Mausoleum","A warm wave of magic flows through your hands as you perceive that..
.. this object, a suit of darkened platemail, is armor,
   and can be referred to as 'darkened plate platemail'.
It is of 35th level, weighs 5 pounds, and is worth 334 gold.
You can wear it on your torso.
It glows with a soft light and hums faintly.
It cannot be used by those of pure soul.
It cannot be located by magical means.
Armor class bonus: 15 vs pierce, 14 vs bash, 14 vs slash, and 10 vs magic.
When worn, it
   modifies resistance to acid by 10
   modifies fortitude save by 10
   modifies damage roll by 3
   modifies hit roll by 2
   modifies armor class by -20
   modifies health by 55
   modifies strength by 1","shadarlunn","torso",NULL
"38","sapphire necklace","The Lost Sands","Object 'sapphire necklace' is type armor, extra flags glow magic.
Weight is 2, value is 1000, level is 25.
restrict flags none.
Armor class is 10 pierce, 10 bash, 10 slash, and 10 vs. magic
Affects armor class by -10.
Affects mana by 50.","djinn lord","neck",NULL
"39","Bushido blade","Isle of the Dead",".. this object, the Bushido blade, is a sword,
   and can be referred to as 'Bushido blade sword'.
It is of 32nd level, weighs 7 pounds, and is worth 143 gold.
It sheds a magical aura.
It cannot be located by magical means.
It deals 5d9 damage (averaging at 25).
Its attacks take the form of a flaming bite.
It roars with flames.
When worn, it
   modifies dexterity by 1
   modifies hit roll by 5
   modifies damage roll by 4","Ungorn Daimyo","wield","2026-03-22 07:42:12"
"40","dragon kite","Isle of the Dead",".. this object, a dragon kite, is armor,
   and can be referred to as 'dragon kite shield'.
It is of 32nd level, weighs 15 pounds, and is worth 110 gold.
You can use it as a shield.
It glows with a soft light and sheds a magical aura.
It cannot be located by magical means.
Armor class bonus: 9 vs pierce, 9 vs bash, 9 vs slash, and 12 vs magic.
When worn, it
   modifies hit roll by 4
   modifies damage roll by 4
   modifies resistance to fire by 5
   modifies resistance to cold by 5
   modifies resistance to acid by 5

bonus damage on shieldbash","ungorn daimyo","shield","2026-03-22 07:52:28"
"41","Hi-Kane-Do battle boots","Isle of the Dead",".. this object, the Hi-Kane-Do battle boots, is armor,
   and can be referred to as 'Hi-Kane-Do battle boots'.
It is of 32nd level, weighs 3 pounds, and is worth 131 gold.
You can wear it on your feet.
It sheds a magical aura.
It cannot be located by magical means.
Armor class bonus: 10 vs pierce, 10 vs bash, 10 vs slash, and 10 vs magic.
When worn, it
   modifies hit roll by 3
   modifies damage roll by 3
   modifies moves by 70
   modifies health by 25
   modifies reflex save by 5","ungorn daimyo","feet","2026-03-22 07:43:49"
"42","Hi-Kane-Do battle gloves","Isle of the Dead",".. this object, the Hi-Kane-Do battle gloves, is armor,
   and can be referred to as 'Hi-Kane-Do battle gloves'.
It is of 32nd level, weighs 3 pounds, and is worth 131 gold.
You can wear it on your hands.
It sheds a magical aura.
It cannot be located by magical means.
Armor class bonus: 10 vs pierce, 10 vs bash, 10 vs slash, and 10 vs magic.
When worn, it
   modifies strength by 2
   modifies hit roll by 3
   modifies damage roll by 3
   modifies resistance to slashing by 2
   modifies health by 25
   modifies reflex save by 4","ungorn daimyo","hands","2026-03-22 07:43:40"
"43","Hi-Kane-Do battle sleeves","Isle of the Dead",".. this object, the Hi-Kane-Do battle sleeves, is armor,
   and can be referred to as 'Hi-Kane-Do battle sleeves'.
It is of 32nd level, weighs 4 pounds, and is worth 131 gold.
You can wear it on your arms.
It sheds a magical aura.
It cannot be located by magical means.
Armor class bonus: 10 vs pierce, 10 vs bash, 10 vs slash, and 10 vs magic.
When worn, it
   modifies constitution by 2
   modifies hit roll by 3
   modifies damage roll by 3
   modifies resistance to slashing by 2
   modifies health by 25
   modifies reflex save by 4","ungorn daimyo","arms","2026-03-22 07:43:29"
"44","Hi-Kane-Do battle leggings","Isle of the Dead",".. this object, the Hi-Kane-Do battle leggings, is armor,
   and can be referred to as 'Hi-Kane-Do battle leggings'.
It is of 32nd level, weighs 5 pounds, and is worth 133 gold.
You can wear it on your legs.
It sheds a magical aura.
It cannot be located by magical means.
Armor class bonus: 10 vs pierce, 10 vs bash, 10 vs slash, and 10 vs magic.
When worn, it
   modifies dexterity by 2
   modifies hit roll by 3
   modifies damage roll by 3
   modifies resistance to slashing by 2
   modifies reflex save by 4
   modifies health by 40","ungorn daimyo","legs","2026-03-22 07:43:15"
"5804","amulet of Healing Hand","Xak Tsaroth",".. this object, an amulet of Healing Hand, is treasure,
   and can be referred to as 'amulet healing hand'.
It is of 37th level, weighs 1 pound, and is worth 230 gold.
You can wear it around your neck.
It glows with a soft light and sheds a magical aura.
It can only be used by those of pure soul.
It is fireproof and resists corrosion.
When worn, it
   modifies fortitude save by 7
   modifies armor class by -10

autoheal
cure crit","statue of mishakal","neck",NULL
"45","Hi-Kane-Do battle gown","Isle of the Dead",".. this object, the Hi-Kane-Do battle gown, is armor,
   and can be referred to as 'Hi-Kane-Do battle gown'.
It is of 32nd level, weighs 8 pounds, and is worth 135 gold.
You can wear it on your torso.
It sheds a magical aura.
It cannot be located by magical means.
Armor class bonus: 10 vs pierce, 10 vs bash, 10 vs slash, and 10 vs magic.
When worn, it
   modifies health by 35
   modifies hit roll by 3
   modifies damage roll by 3
   modifies resistance to slashing by 5
   modifies fortitude save by 8","ungorn daimyo","torso","2026-03-22 07:42:57"
"46","kabuto","Isle of the Dead",".. this object, the Kabuto, is armor,
   and can be referred to as 'Kabuto battle helm'.
It is of 32nd level, weighs 1 pound, and is worth 134 gold.
You can wear it on your head.
It sheds a magical aura.
It cannot be located by magical means.
Armor class bonus: 10 vs pierce, 10 vs bash, 10 vs slash, and 10 vs magic.
When worn, it
   modifies health by 25
   modifies will save by 6
   modifies damage roll by 2
   modifies hit roll by 3
   modifies wisdom by 1
   modifies intelligence by 1","ungorn daimyo","head",NULL
"47","pallid steel shield","Darken Woods",".. this object, a pallid steel shield, is armor,
   and can be referred to as 'shield pallid steel'.
It is of 32nd level, weighs 6 pounds, and is worth 90 gold.
You can use it as a shield.
It sheds a magical aura.
Armor class bonus: 15 vs pierce, 15 vs bash, 15 vs slash, and 15 vs magic.
When worn, it
   modifies health by 50
   modifies hit roll by 5
   modifies damage roll by 5
   modifies resistance to cold by 10
   modifies all saves by 4","spectral king","shield","2026-03-22 09:10:53"
"48","pair of pallid steel arm guards","Darken Woods",".. this object, a pair of pallid steel arm guards, is armor,
   and can be referred to as 'arm plates pallid steel'.
It is of 32nd level, weighs 6 pounds, and is worth 130 gold.
You can wear it on your arms.
It sheds a magical aura.
Armor class bonus: 10 vs pierce, 10 vs bash, 10 vs slash, and 10 vs magic.
When worn, it
   modifies health by 30
   modifies hit roll by 5
   modifies damage roll by 5
   modifies resistance to cold by 5
   modifies all saves by 2","spectral king","arms","2026-03-22 09:10:12"
"49","pair of pallid steel boots","Darken Woods",".. this object, a pair of pallid steel boots, is armor,
   and can be referred to as 'boots pallid steel'.
It is of 32nd level, weighs 6 pounds, and is worth 130 gold.
You can wear it on your feet.
It sheds a magical aura.
Armor class bonus: 10 vs pierce, 10 vs bash, 10 vs slash, and 10 vs magic.
When worn, it
   modifies health by 30
   modifies hit roll by 5
   modifies damage roll by 5
   modifies resistance to cold by 5
   modifies all saves by 2","spectral king","feet","2026-03-22 09:10:42"
"50","pair of pallid steel leggings","Darken Woods",".. this object, a pair of pallid steel leggings, is armor,
   and can be referred to as 'leggings pallid steel'.
It is of 32nd level, weighs 6 pounds, and is worth 130 gold.
You can wear it on your legs.
It sheds a magical aura.
Armor class bonus: 10 vs pierce, 10 vs bash, 10 vs slash, and 10 vs magic.
When worn, it
   modifies health by 30
   modifies hit roll by 5
   modifies damage roll by 5
   modifies resistance to cold by 5
   modifies all saves by 2","spectral king","legs","2026-03-22 09:10:30"
"51","shimmering crown","Darken Woods",".. this object, a shimmering crown, is armor,
   and can be referred to as 'crown shimmering'.
It is of 32nd level, weighs 3 pounds, and is worth 210 gold.
You can wear it on your head.
It sheds a magical aura.
Armor class bonus: 15 vs pierce, 15 vs bash, 15 vs slash, and 15 vs magic.
When worn, it
   modifies hit roll by 4
   modifies damage roll by 4
   modifies health by 30
   modifies reflex save by 2
   modifies will save by 5","spectral king","head","2026-03-22 09:11:11"
"52","pallid steel body armor","Darken Woods",".. this object, a pallid steel body armor, is armor,
   and can be referred to as 'pallid overlapping body armor steel'.
It is of 32nd level, weighs 6 pounds, and is worth 243 gold.
You can wear it on your torso.
It sheds a magical aura.
Armor class bonus: 15 vs pierce, 15 vs bash, 15 vs slash, and 15 vs magic.
When worn, it
   modifies health by 40
   modifies hit roll by 6
   modifies damage roll by 6
   modifies resistance to cold by 5
   modifies all saves by 2","spectral king","torso","2026-03-22 09:09:52"
"5560","flaming sceptre of Chaos","arkham mausoleum",".. this object, the flaming sceptre of Chaos, is a mace,
   and can be referred to as 'sceptre chaos'.
It is of 32nd level, weighs 8 pounds, and is worth 225 gold and 50 silver.
It glows with a soft light.
The curse upon it won't let you drop it.
It cannot be located by magical means.
It deals 6d7 damage (averaging at 24).
Its attacks take the form of wrath.
It roars with flames.
When worn, it
   modifies resistance to energy by 15
   modifies will save by 10
   modifies damage roll by 3
   modifies hit roll by 4
   modifies mana by 17
   modifies health by 43
   modifies strength by 3
   modifies dexterity by 1","dark priest vampire","wield",NULL
"55","skin of an elven princess","Emerald Forest",".. this object, the skin of an elven princess, is armor,
   and can be referred to as 'skin cloak'.
It is of 31st level, weighs 2 pounds, and is worth 35 gold.
You can wear it around your neck.
It cannot be used by those of pure soul.
Armor class bonus: 9 vs pierce, 8 vs bash, 8 vs slash, and 0 vs magic.
When worn, it
   modifies constitution by -1
   modifies age by -20
   modifies health by 20
   modifies mana by 20
   modifies damage roll by 3
   modifies will save by 5
   modifies resistance to holy by 5","gertrude","neck","2026-03-22 07:37:32"
"56","pitch-black obsidian bracelet","Saltcove",".. this object, a pitch-black obsidian bracelet, is armor,
   and can be referred to as 'pitch black bracelet obsidian'.
It is of 30th level, weighs 2 pounds, and is worth 113 gold.
You can wear it around your wrist.
It glows with a soft light and sheds a magical aura.
Armor class bonus: 5 vs pierce, 5 vs bash, 5 vs slash, and 15 vs magic.
When worn, it
   modifies fortitude save by 3
   modifies damage roll by 4
   modifies hit roll by 4
   modifies resistance to negative by 4","Kzak Firemace","wrist","2026-03-22 08:15:01"
"57","obsidian-laced cape","The Obsidian Order",".. this object, an obsidian-laced cape, is clothing,
   and can be referred to as 'obsidian cape'.
It is of 30th level, weighs 4 pounds, and is worth 8 gold.
You can wear it around your body.
It glows with a soft light.
It cannot be used by those of pure soul.
When worn, it
   modifies resistance to fire by 2
   modifies will save by 2
   modifies mana by 20
   modifies health by 25","elite obsidian soldier","body",NULL
"58","pair of obsidian armplates","The Obsidian Order",".. this object, pair of obsidian armplates, is armor,
   and can be referred to as 'arm armplates obsidian'.
It is of 30th level, weighs 8 pounds, and is worth 8 gold.
You can wear it on your arms.
It cannot be used by those of pure soul.
Armor class bonus: 12 vs pierce, 12 vs bash, 12 vs slash, and 6 vs magic.
When worn, it
   modifies health by 15
   modifies armor class by -10
   modifies strength by 3
   modifies constitution by 2
   modifies damage roll by 2","elite obsidian soldier","arms",NULL
"59","obsidian longsword","The Obsidian Order",".. this object, an obsidian longsword, is a sword,
   and can be referred to as 'obsidian sword longsword'.
It is of 30th level, weighs 9 pounds, and is worth 6 gold.
It glows with a soft light.
The curse upon it won't let you remove it.
It deals 5d9 damage (averaging at 25).
Its attacks take the form of a cleave.
When worn, it
   modifies resistance to fire by 2
   modifies damage roll by 3
   modifies hit roll by 2","elite obsidian soldier","wield",NULL
"60","pair of obsidian boots","The Obsidian Order",".. this object, a pair of obsidian boots, is armor,
   and can be referred to as 'obsidian boots'.
It is of 30th level, weighs 5 pounds, and is worth 8 gold.
You can wear it on your feet.
It glows with a soft light.
It cannot be used by those of pure soul.
Armor class bonus: 12 vs pierce, 12 vs bash, 12 vs slash, and 7 vs magic.
When worn, it
   modifies resistance to fire by 2
   modifies hit roll by 1
   modifies damage roll by 3
   modifies dexterity by 2","elite obsidian soldier","feet",NULL
"61","insignia of the Obsidian Order","The Obsidian Order",".. this object, insignia of the Obsidian Order, is armor,
   and can be referred to as 'insignia obsidian'.
It is of 30th level, weighs 3 pounds, and is worth 8 gold.
You can wear it around your neck.
It hums faintly.
It cannot be used by those of pure soul.
Armor class bonus: 10 vs pierce, 10 vs bash, 10 vs slash, and 10 vs magic.
When worn, it
   modifies resistance to fire by 3
   modifies hit roll by 2
   modifies damage roll by 3
   modifies mana by 15
   modifies health by 25","elite obsidian soldier","neck",NULL
"62","obsidian breastplate","The Obsidian Order",".. this object, an obsidian breastplate, is armor,
   and can be referred to as 'obsidian breastplate plate'.
It is of 30th level, weighs 9 pounds, and is worth 8 gold.
You can wear it on your torso.
It cannot be used by those of pure soul.
Armor class bonus: 15 vs pierce, 15 vs bash, 15 vs slash, and 10 vs magic.
When worn, it
   modifies resistance to fire by 4
   modifies fortitude save by 3
   modifies hit roll by -1
   modifies damage roll by 3
   modifies strength by 2
   modifies mana by 25
   modifies health by 25","elite obsidian soldier","torso",NULL
